"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1ILCK0346","PALATINE 1.2 NW, IL US","42.126196","-88.0578","233.8","2021-09-26",,,,
"US1ILCK0346","PALATINE 1.2 NW, IL US","42.126196","-88.0578","233.8","2021-09-27",,,,
"US1ILWL0080","LOCKPORT 1.3 SE, IL US","41.574538","-88.032951","208.2","2021-09-26",,,,
"US1ILWL0080","LOCKPORT 1.3 SE, IL US","41.574538","-88.032951","208.2","2021-09-27",,,,
"US1ILCK0193","WINNETKA 0.8 ESE, IL US","42.10164","-87.728947","192.0","2021-09-26",,,,
"US1ILCK0193","WINNETKA 0.8 ESE, IL US","42.10164","-87.728947","192.0","2021-09-27",,,,
"US1ILCK0232","ROGERS PARK 0.6 ESE, IL US","42.0043","-87.6697","180.1","2021-09-26",,,,
"US1ILCK0232","ROGERS PARK 0.6 ESE, IL US","42.0043","-87.6697","180.1","2021-09-27",,,,
"US1ILWL0121","MONEE 4.9 W, IL US","41.4147415161133","-87.8479385375977","221.0","2021-09-26",,,,
"US1ILWL0121","MONEE 4.9 W, IL US","41.4147415161133","-87.8479385375977","221.0","2021-09-27",,,,
"US1INLK0078","SCHERERVILLE 1.4 E, IN US","41.4852981567383","-87.4214630126953","200.3","2021-09-26",,,,
"US1INLK0078","SCHERERVILLE 1.4 E, IN US","41.4852981567383","-87.4214630126953","200.3","2021-09-27",,,,
"US1INLK0111","HOBART 1.1 S, IN US","41.51636","-87.26671",,"2021-09-26",,,,
"US1INLK0111","HOBART 1.1 S, IN US","41.51636","-87.26671",,"2021-09-27",,,,
"USW00004838","CHICAGO PALWAUKEE AIRPORT, IL US","42.12076","-87.90479","191.6","2021-09-26",,"83","53",
"USW00004838","CHICAGO PALWAUKEE AIRPORT, IL US","42.12076","-87.90479","191.6","2021-09-27",,"88","63",
"US1ILCK0074","OAK PARK 1.3 NNE, IL US","41.906214","-87.78188","192.9","2021-09-26",,,,
"US1ILCK0074","OAK PARK 1.3 NNE, IL US","41.906214","-87.78188","192.9","2021-09-27",,,,
"US1ILCK0075","ELK GROVE VILLAGE 2.2 WSW, IL US","41.995258","-88.052741","221.9","2021-09-26",,,,
"US1ILCK0075","ELK GROVE VILLAGE 2.2 WSW, IL US","41.995258","-88.052741","221.9","2021-09-27",,,,
"US1ILCK0351","SCHAUMBURG 1.4 SE, IL US","42.018722","-88.062892","230.1","2021-09-26",,,,
"US1ILCK0351","SCHAUMBURG 1.4 SE, IL US","42.018722","-88.062892","230.1","2021-09-27",,,,
"USC00115314","MANHATTAN 5 NE, IL US","41.45886","-87.91044","228.0","2021-09-26",,,,
"USC00115314","MANHATTAN 5 NE, IL US","41.45886","-87.91044","228.0","2021-09-27",,,,
"US1ILCK0334","EVANSTON 0.6 S, IL US","42.03778022","-87.694108","184.1","2021-09-26",,,,
"US1ILCK0334","EVANSTON 0.6 S, IL US","42.03778022","-87.694108","184.1","2021-09-27",,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","41.995667","-87.691833","181.4","2021-09-26",,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","41.995667","-87.691833","181.4","2021-09-27",,,,
"US1ILCK0336","EVANSTON 0.8 ESE, IL US","42.04309","-87.6792","185.3","2021-09-26",,,,
"US1ILCK0336","EVANSTON 0.8 ESE, IL US","42.04309","-87.6792","185.3","2021-09-27",,,,
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","41.60413","-88.08497","201.2","2021-09-26",,"82","49","67"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","41.60413","-88.08497","201.2","2021-09-27",,"86","62","62"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","41.78412","-87.75514","185.8","2021-09-26",,"84","56",
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","41.78412","-87.75514","185.8","2021-09-27",,"88","65",
"US1ILCK0180","PARK RIDGE 0.5 SSW, IL US","42.004434","-87.846005","194.5","2021-09-26",,,,
"US1ILCK0180","PARK RIDGE 0.5 SSW, IL US","42.004434","-87.846005","194.5","2021-09-27",,,,
"US1ILWL0092","NAPERVILLE 4.0 SSW, IL US","41.706241","-88.173396","203.0","2021-09-26",,,,
"US1ILWL0092","NAPERVILLE 4.0 SSW, IL US","41.706241","-88.173396","203.0","2021-09-27",,,,
"US1ILCK0061","OAK PARK 1.0 SW, IL US","41.87558","-87.80111","192.9","2021-09-26",,,,
"US1ILCK0061","OAK PARK 1.0 SW, IL US","41.87558","-87.80111","192.9","2021-09-27",,,,
"US1ILWL0097","NEW LENOX 3.3 E, IL US","41.5193405151367","-87.9193115234375","207.0","2021-09-26",,,,
"US1ILWL0097","NEW LENOX 3.3 E, IL US","41.5193405151367","-87.9193115234375","207.0","2021-09-27",,,,
"US1ILCK0342","MERRIONETTE PARK 1.7 NE, IL US","41.695769","-87.67387","202.4","2021-09-26",,,,
"US1ILCK0342","MERRIONETTE PARK 1.7 NE, IL US","41.695769","-87.67387","202.4","2021-09-27",,,,
"US1INLK0089","HAMMOND 0.6 SSW, IN US","41.6121","-87.4941","180.1","2021-09-26",,,,
"US1INLK0089","HAMMOND 0.6 SSW, IN US","41.6121","-87.4941","180.1","2021-09-27",,,,
"US1ILWL0131","HOMER GLEN 0.7 NNE, IL US","41.6084251403809","-87.9327011108398","230.7","2021-09-26",,,,
"US1ILWL0131","HOMER GLEN 0.7 NNE, IL US","41.6084251403809","-87.9327011108398","230.7","2021-09-27",,,,
"US1ILWL0138","CRETE 2.7 W, IL US","41.4457","-87.66578","228.9","2021-09-26",,,,
"US1ILWL0138","CRETE 2.7 W, IL US","41.4457","-87.66578","228.9","2021-09-27",,,,
"US1ILCK0063","ELK GROVE VILLAGE 0.6 ESE, IL US","42.003899","-87.981309","213.1","2021-09-26",,,,
"US1ILCK0063","ELK GROVE VILLAGE 0.6 ESE, IL US","42.003899","-87.981309","213.1","2021-09-27",,,,
"US1ILWL0016","HOMER GLEN 0.8 ENE, IL US","41.627371","-87.928125","225.9","2021-09-26",,,,
"US1ILWL0016","HOMER GLEN 0.8 ENE, IL US","41.627371","-87.928125","225.9","2021-09-27",,,,
"US1ILWL0137","NAPERVILLE 2.8 SSW, IL US","41.72431","-88.17107","208.5","2021-09-26",,,,
"US1ILWL0137","NAPERVILLE 2.8 SSW, IL US","41.72431","-88.17107","208.5","2021-09-27",,,,
"US1ILCK0064","HOMEWOOD 0.1 ESE, IL US","41.557694","-87.659444","196.0","2021-09-26",,,,
"US1ILCK0064","HOMEWOOD 0.1 ESE, IL US","41.557694","-87.659444","196.0","2021-09-27",,,,
"US1INPT0157","PORTAGE 2.4 NNW, IN US","41.619426","-87.196292","188.1","2021-09-26",,,,
"US1INPT0157","PORTAGE 2.4 NNW, IN US","41.619426","-87.196292","188.1","2021-09-27",,,,
"US1ILCK0094","LINCOLNWOOD 1.8 E, IL US","42.001874","-87.69847","184.1","2021-09-26",,,,
"US1ILCK0094","LINCOLNWOOD 1.8 E, IL US","42.001874","-87.69847","184.1","2021-09-27",,,,
"US1ILDP0109","ELMHURST 0.8 ESE, IL US","41.89287","-87.929556","209.1","2021-09-26",,,,
"US1ILDP0109","ELMHURST 0.8 ESE, IL US","41.89287","-87.929556","209.1","2021-09-27",,,,
"US1ILWL0063","NEW LENOX 1.8 SE, IL US","41.49964","-87.96025","213.7","2021-09-26",,,,
"US1ILWL0063","NEW LENOX 1.8 SE, IL US","41.49964","-87.96025","213.7","2021-09-27",,,,
"US1ILCK0253","MIDLOTHIAN 0.1 SSE, IL US","41.625037","-87.723352","189.3","2021-09-26",,,,
"US1ILCK0253","MIDLOTHIAN 0.1 SSE, IL US","41.625037","-87.723352","189.3","2021-09-27",,,,
"US1ILCK0012","BRIDGEVIEW 1.3 NNW, IL US","41.755015","-87.817285","188.1","2021-09-26",,,,
"US1ILCK0012","BRIDGEVIEW 1.3 NNW, IL US","41.755015","-87.817285","188.1","2021-09-27",,,,
"USC00115110","LITTLE RED SCHOOL HOUSE, IL US","41.7091","-87.8761","217.9","2021-09-26",,,,
"USC00115110","LITTLE RED SCHOOL HOUSE, IL US","41.7091","-87.8761","217.9","2021-09-27",,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.800772","-87.590335","182.9","2021-09-26",,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.800772","-87.590335","182.9","2021-09-27",,,,
"US1ILWL0065","CRETE 2.6 SSW, IL US","41.417084","-87.630024","230.4","2021-09-27",,,,
"US1ILDP0102","BOLINGBROOK 2.7 NE, IL US","41.730198","-88.044797","233.8","2021-09-26",,,,
"US1ILDP0102","BOLINGBROOK 2.7 NE, IL US","41.730198","-88.044797","233.8","2021-09-27",,,,
"US1ILDP0100","BARTLETT 1.1 SE, IL US","41.969245","-88.1873","239.6","2021-09-26",,,,
"US1ILDP0100","BARTLETT 1.1 SE, IL US","41.969245","-88.1873","239.6","2021-09-27",,,,
"US1ILCK0098","LA GRANGE PARK 0.7 SSW, IL US","41.822576","-87.875805","200.9","2021-09-26",,,,
"US1ILCK0098","LA GRANGE PARK 0.7 SSW, IL US","41.822576","-87.875805","200.9","2021-09-27",,,,
"US1ILCK0131","SCHAUMBURG 2.0 E, IL US","42.030278","-88.043989","226.2","2021-09-26",,,,
"US1ILCK0131","SCHAUMBURG 2.0 E, IL US","42.030278","-88.043989","226.2","2021-09-27",,,,
"US1ILDP0085","VILLA PARK 1.0 NW, IL US","41.896885","-87.990348","220.1","2021-09-26",,,,
"US1ILDP0085","VILLA PARK 1.0 NW, IL US","41.896885","-87.990348","220.1","2021-09-27",,,,
"US1ILLK0016","BUFFALO GROVE 1.5 N, IL US","42.188","-87.959","213.1","2021-09-26",,,,
"US1ILLK0016","BUFFALO GROVE 1.5 N, IL US","42.188","-87.959","213.1","2021-09-27",,,,
"US1ILLK0015","BANNOCKBURN 0.5 ESE, IL US","42.189627","-87.860005","205.1","2021-09-26",,,,
"US1ILLK0015","BANNOCKBURN 0.5 ESE, IL US","42.189627","-87.860005","205.1","2021-09-27",,,,
"US1ILLK0011","LINCOLNSHIRE 0.9 N, IL US","42.208163","-87.918786","209.1","2021-09-26",,,,
"US1ILLK0011","LINCOLNSHIRE 0.9 N, IL US","42.208163","-87.918786","209.1","2021-09-27",,,,
"US1ILDP0118","DARIEN 0.4 SSE, IL US","41.743129","-87.974629","228.6","2021-09-26",,,,
"US1ILDP0118","DARIEN 0.4 SSE, IL US","41.743129","-87.974629","228.6","2021-09-27",,,,
"US1ILCK0088","COUNTRYSIDE 0.8 ENE, IL US","41.782312","-87.862164","199.0","2021-09-26",,,,
"US1ILCK0088","COUNTRYSIDE 0.8 ENE, IL US","41.782312","-87.862164","199.0","2021-09-27",,,,
"US1ILCK0121","PALATINE 1.3 E, IL US","42.113853","-88.017779","223.1","2021-09-26",,,,
"US1ILCK0121","PALATINE 1.3 E, IL US","42.113853","-88.017779","223.1","2021-09-27",,,,
"US1ILDP0117","ELMHURST 2.0 SE, IL US","41.875167","-87.921069","211.5","2021-09-26",,,,
"US1ILDP0117","ELMHURST 2.0 SE, IL US","41.875167","-87.921069","211.5","2021-09-27",,,,
"US1ILCK0243","ELMWOOD PARK 0.7 ESE, IL US","41.917679","-87.803688","195.4","2021-09-26",,,,
"US1ILCK0243","ELMWOOD PARK 0.7 ESE, IL US","41.917679","-87.803688","195.4","2021-09-27",,,,
"US1INLK0067","SCHERERVILLE 1.1 E, IN US","41.4892921447754","-87.4274597167969","196.6","2021-09-26",,,,
"US1INLK0067","SCHERERVILLE 1.1 E, IN US","41.4892921447754","-87.4274597167969","196.6","2021-09-27",,,,
"USC00114890","LANSING, IL US","41.5422","-87.5416","189.0","2021-09-26",,,,
"USC00114890","LANSING, IL US","41.5422","-87.5416","189.0","2021-09-27",,,,
"US1ILDP0079","BURR RIDGE 1.9 SW, IL US","41.731939","-87.948599","220.7","2021-09-26",,,,
"US1ILDP0079","BURR RIDGE 1.9 SW, IL US","41.731939","-87.948599","220.7","2021-09-27",,,,
"US1ILDP0078","NAPERVILLE 2.4 SE, IL US","41.741838","-88.116204","216.1","2021-09-26",,,,
"US1ILDP0078","NAPERVILLE 2.4 SE, IL US","41.741838","-88.116204","216.1","2021-09-27",,,,
"US1INLK0063","GARY 4.8 ENE, IN US","41.6169548034668","-87.2546310424805","186.5","2021-09-26",,,,
"US1INLK0063","GARY 4.8 ENE, IN US","41.6169548034668","-87.2546310424805","186.5","2021-09-27",,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2021-09-26","66","83","54",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2021-09-27","73","87","63",
