lon,lat,6to9,9to12,12to15,15to18
-87.58195122,41.77072072,0.235279645,0.244526323,0.295655658,0.201832495
-87.5697561,41.77072072,0.221776199,0.236947493,0.302698425,0.18413029
-87.78926829,41.77972973,0.207908633,0.246169247,0.339459868,0.254247532
-87.77707317,41.77972973,0.205714331,0.250372045,0.344036926,0.245585858
-87.76487805,41.77972973,0.203121556,0.250996749,0.339551841,0.26070057
-87.75268293,41.77972973,0.194496891,0.257243264,0.334687896,0.265226148
-87.7404878,41.77972973,0.200215318,0.26000957,0.332261194,0.253853706
-87.72829268,41.77972973,0.202799942,0.256715918,0.328918494,0.252071591
-87.71609756,41.77972973,0.201269142,0.266278347,0.329855899,0.2438266
-87.70390244,41.77972973,0.204337562,0.259609095,0.324607884,0.234249672
-87.69170732,41.77972973,0.209830623,0.269355017,0.320072673,0.22270449
-87.6795122,41.77972973,0.221835813,0.26515151,0.317577412,0.218805529
-87.66731707,41.77972973,0.219672755,0.264151305,0.311656559,0.215865827
-87.65512195,41.77972973,0.2168012,0.266686058,0.318718225,0.215514787
-87.64292683,41.77972973,0.218313732,0.266217368,0.319254436,0.188406528
-87.63073171,41.77972973,0.229663104,0.262640022,0.29044222,0.192323145
-87.61853659,41.77972973,0.233628882,0.253036732,0.288042737,0.208494703
-87.60634146,41.77972973,0.238137184,0.259729693,0.274494719,0.222205896
-87.59414634,41.77972973,0.23632029,0.262832624,0.296813429,0.224938051
-87.58195122,41.77972973,0.231392902,0.265256223,0.302554046,0.222649572
-87.78926829,41.78873874,0.206342696,0.245983347,0.340359409,0.241321869
-87.77707317,41.78873874,0.202920959,0.257076852,0.345835221,0.238994827
-87.76487805,41.78873874,0.200182506,0.266982516,0.339674457,0.238058861
-87.75268293,41.78873874,0.191146484,0.271220225,0.351690372,0.244301514
-87.7404878,41.78873874,0.190703244,0.273452148,0.348892531,0.228066925
-87.72829268,41.78873874,0.189351009,0.267442222,0.340722086,0.227710638
-87.71609756,41.78873874,0.19011143,0.266682897,0.327289371,0.236579615
-87.70390244,41.78873874,0.196726387,0.277210618,0.327872844,0.235264395
-87.69170732,41.78873874,0.203967047,0.277974991,0.320580375,0.216376687
-87.6795122,41.78873874,0.212984894,0.265579966,0.320411755,0.209823854
-87.66731707,41.78873874,0.221586619,0.263754502,0.299495516,0.204195754
-87.65512195,41.78873874,0.223823641,0.272440889,0.303369225,0.198093458
-87.64292683,41.78873874,0.2343205,0.274304466,0.313760568,0.187626418
-87.63073171,41.78873874,0.244358258,0.267948224,0.31000641,0.196187554
-87.61853659,41.78873874,0.232641039,0.259262119,0.309626578,0.193930447
-87.60634146,41.78873874,0.233203027,0.272189739,0.309459198,0.223962569
-87.59414634,41.78873874,0.231541689,0.270396764,0.309420469,0.241909607
-87.58195122,41.78873874,0.228496105,0.271156799,0.316024536,0.261558759
-87.80146341,41.79774775,0.205432959,0.244756084,0.34499531,0.216612993
-87.78926829,41.79774775,0.199874714,0.252718439,0.346780235,0.22444124
-87.77707317,41.79774775,0.196460855,0.260087861,0.365225125,0.234250393
-87.76487805,41.79774775,0.198632502,0.267444753,0.349472429,0.226841223
-87.75268293,41.79774775,0.201060494,0.273521114,0.350935138,0.232778593
-87.7404878,41.79774775,0.180972654,0.273720603,0.35163291,0.225976496
-87.72829268,41.79774775,0.168292107,0.281438649,0.328556442,0.229845386
-87.71609756,41.79774775,0.176096121,0.273747648,0.321828411,0.237613855
-87.70390244,41.79774775,0.186556349,0.269240648,0.332232047,0.235555769
-87.69170732,41.79774775,0.196957294,0.273834502,0.321285759,0.220662842
-87.6795122,41.79774775,0.200565669,0.275796638,0.313631717,0.211524523
-87.66731707,41.79774775,0.215632433,0.273980469,0.301547689,0.214444316
-87.65512195,41.79774775,0.226230674,0.279687794,0.291682605,0.202813095
-87.64292683,41.79774775,0.239940858,0.279245016,0.308149623,0.203962834
-87.63073171,41.79774775,0.232070541,0.276624793,0.312500965,0.203365966
-87.61853659,41.79774775,0.225657228,0.271658845,0.312384688,0.205593246
-87.60634146,41.79774775,0.225756907,0.276852361,0.316135445,0.224222275
-87.59414634,41.79774775,0.225686771,0.285185953,0.314529449,0.22325229
